GlobalEventID,SQLDATE,MonthYear,Year,Actor1Code,Actor1Name,Actor1CountryCode,Actor2Code,Actor2Name,Actor2CountryCode,EventCode,GoldsteinScale,NumMentions,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor2Geo_Lat,Actor2Geo_Long,ActionGeo_Lat,ActionGeo_Long,ActionGeo_CountryCode,ActionGeo_FullName,SOURCEURL
1248729105,20250610,202506,2025,,,,CAN,CANADIAN,CAN,036,4.0,7,7,0.27322404371585,,,60,-96,60,-96,CA,Canada,https://canadianimmigrant.ca/settlement/the-emotional-toll-of-the-job-search-process-in-canada-for-immigrants
1248729477,20250610,202506,2025,ARM,ARMENIA,ARM,RUS,RUSSIA,RUS,061,6.4,8,8,-4.32291666666666,40,45,60,100,40,45,AM,Armenia,https://freerepublic.com/tag/*/index?more=4322005
1248729585,20250610,202506,2025,CAN,CANADA,CAN,,,,012,-0.4,94,94,-5.04460010729399,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/economy-law-politics/former-td-banker-accused-of-moving-150k-from-senior-citizens-account-to-herself-10774432
1248729586,20250610,202506,2025,CAN,CANADA,CAN,,,,013,0.4,30,30,-3.49391249670995,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/economy-law-politics/former-td-banker-accused-of-moving-150k-from-senior-citizens-account-to-herself-10774432
1248729588,20250610,202506,2025,CAN,CANADA,CAN,,,,015,0.0,14,12,-3.35122704788173,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/local-news/gibsons-aims-to-plant-2200-trees-by-2045-as-part-of-urban-forest-plan-10774534
1248729589,20250610,202506,2025,CAN,CANADA,CAN,,,,020,3.0,256,226,-0.65197019451038,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/local-news/gibsons-aims-to-plant-2200-trees-by-2045-as-part-of-urban-forest-plan-10774534
1248729590,20250610,202506,2025,CAN,CANADIAN,CAN,,,,036,4.0,185,175,-1.35259886441161,60,-96,,,60,-96,CA,Canada,https://canadianimmigrant.ca/settlement/the-emotional-toll-of-the-job-search-process-in-canada-for-immigrants
1248729600,20250610,202506,2025,CAN,CANADA,CAN,,,,051,3.4,101,91,2.91131026246402,60,-96,,,60,-96,CA,Canada,https://www.exetertoday.ca/2025/06/09/whats-good-in-exeter-grand-bend-help-light-up-canada-day-south-huron-celebration-needs-support-to-save-the-fireworks/
1248729601,20250610,202506,2025,CAN,CANADA,CAN,,,,071,7.4,55,55,1.86687097802944,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/local-news/gibsons-aims-to-plant-2200-trees-by-2045-as-part-of-urban-forest-plan-10774534
1248729602,20250610,202506,2025,CAN,CANADA,CAN,,,,084,7.0,23,23,1.44172849755516,60,-96,,,60,-96,CA,Canada,https://www.finanznachrichten.de/nachrichten-2025-06/65620813-chipotle-bets-on-bold-new-adobo-ranch-to-reignite-sales-020.htm
1248729604,20250610,202506,2025,CAN,CANADA,CAN,,,,090,-2.0,52,52,-2.55919049463145,60,-96,,,60,-96,CA,Canada,https://www.coastreporter.net/economy-law-politics/former-td-banker-accused-of-moving-150k-from-senior-citizens-account-to-herself-10774432
1248729611,20250610,202506,2025,CAN,CANADIAN,CAN,CVL,IMMIGRANT,,060,6.0,4,4,0.27322404371585,60,-96,60,-96,60,-96,CA,Canada,https://canadianimmigrant.ca/settlement/the-emotional-toll-of-the-job-search-process-in-canada-for-immigrants
1248729612,20250610,202506,2025,CAN,CANADA,CAN,CVL,IMMIGRANT,,090,-2.0,4,4,0.27322404371585,60,-96,60,-96,60,-96,CA,Canada,https://canadianimmigrant.ca/settlement/the-emotional-toll-of-the-job-search-process-in-canada-for-immigrants
1248729614,20250610,202506,2025,CAN,CANADA,CAN,GOV,PREMIER,,040,1.0,5,5,-1.22116689280868,62.45,-114.35,62.45,-114.35,62.45,-114.35,CA,"Yellowknife, Northwest Territories, Canada",http://www.bignewsnetwork.com/news/278266999/carney-wants-a-pipeline-building-one-will-be-harder-than-it-sounds
1248729631,20250610,202506,2025,CAN,CANADIAN,CAN,USA,MINNESOTA,USA,042,1.9,16,16,5.88235294117647,60,-96,45.7326,-93.9196,60,-96,CA,Canada,https://www.montenews.com/unseasonably-cool-on-friday/
1248729635,20250610,202506,2025,CANCVL,CANADIAN,CAN,CAN,CANADA,CAN,060,6.0,6,6,0.27322404371585,60,-96,60,-96,60,-96,CA,Canada,https://canadianimmigrant.ca/settlement/the-emotional-toll-of-the-job-search-process-in-canada-for-immigrants
1248729639,20250610,202506,2025,CANGOV,ALBERTA,CAN,GOV,GOVERNMENT,,172,-5.0,4,4,-1.22116689280868,54,-4,62.45,-114.35,62.45,-114.35,CA,"Yellowknife, Northwest Territories, Canada",http://www.bignewsnetwork.com/news/278266999/carney-wants-a-pipeline-building-one-will-be-harder-than-it-sounds
1248729640,20250610,202506,2025,CANGOV,ALBERTA,CAN,GOV,GOVERNMENT,,172,-5.0,2,2,-1.22116689280868,54,-4,54,-4,62.45,-114.35,CA,"Yellowknife, Northwest Territories, Canada",http://www.bignewsnetwork.com/news/278266999/carney-wants-a-pipeline-building-one-will-be-harder-than-it-sounds
1248729918,20250610,202506,2025,CVL,SETTLEMENT,,USA,IDAHO,USA,033,5.2,7,7,3.34029227557412,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://www.manilatimes.net/2025/06/10/tmt-newswire/globenewswire/avista-reaches-all-party-all-issues-settlement-in-idaho-general-rate-cases/2130209
1248730228,20250610,202506,2025,GOV,REGULATOR,,CAN,CANADA,CAN,012,-0.4,105,105,-1.26889134051975,60,-96,60,-96,60,-96,CA,Canada,https://www.coastreporter.net/economy-law-politics/former-td-banker-accused-of-moving-150k-from-senior-citizens-account-to-herself-10774432
1248730231,20250610,202506,2025,GOV,PREMIER,,CAN,CANADA,CAN,040,1.0,5,5,-1.22116689280868,62.45,-114.35,62.45,-114.35,62.45,-114.35,CA,"Yellowknife, Northwest Territories, Canada",http://www.bignewsnetwork.com/news/278266999/carney-wants-a-pipeline-building-one-will-be-harder-than-it-sounds
1248731050,20250610,202506,2025,MIL,MILITARY OFFICIAL,,CANMIL,CANADIAN,CAN,020,3.0,80,80,-0.887968092901034,60,-96,60,-96,60,-96,CA,Canada,https://calgaryherald.com:443/opinion/john-ivison-carneys-new-defence-plan-takes-seriously-the-darker-world-were-now-living-in/wcm/fcabf6b5-e031-4995-8b5f-d95e5e07263c
1248731116,20250610,202506,2025,MNCCAN,TD BANK,CAN,CRM,DEALER,,071,7.4,15,15,-4.20168067226891,60,-96,60,-96,60,-96,CA,Canada,https://www.coastreporter.net/economy-law-politics/former-td-banker-accused-of-moving-150k-from-senior-citizens-account-to-herself-10774432
1248731372,20250610,202506,2025,SWE,SWEDEN,SWE,,,,020,3.0,18,18,-5.24250491789602,62,15,,,31.7444,34.6809,IS,"Ashdod, HaDarom, Israel",https://www.tricitynews.com/world-news/gaza-bound-aid-boat-with-greta-thunberg-on-board-arrives-in-israel-after-its-seizure-10779488
1248731373,20250610,202506,2025,SWE,SWEDEN,SWE,,,,020,3.0,56,56,-4.11414731800095,62,15,,,62,15,SW,Sweden,https://www.tricitynews.com/world-news/gaza-bound-aid-boat-with-greta-thunberg-on-board-arrives-in-israel-after-its-seizure-10779488
1248731376,20250610,202506,2025,SWE,SWEDEN,SWE,GOV,MINISTRY,,010,0.0,100,100,-4.97731653605853,62,15,62,15,62,15,SW,Sweden,https://www.tricitynews.com/world-news/gaza-bound-aid-boat-with-greta-thunberg-on-board-arrives-in-israel-after-its-seizure-10779488
1248731378,20250610,202506,2025,SWEGOV,SWEDEN,SWE,ISR,ISRAELI,ISR,046,7.0,2,2,1.39275766016713,31.4167,34.3333,62,15,31.4167,34.3333,IS,"Gaza, Israel (general), Israel",https://www.gdnonline.com:443/Details/1355311
1248731379,20250610,202506,2025,SWEGOV,SWEDEN,SWE,ISR,ISRAELI,ISR,046,7.0,13,13,-1.94384122256134,62,15,31.4167,34.3333,31.4167,34.3333,IS,"Gaza, Israel (general), Israel",https://www.aljazeera.com/news/2025/6/9/seized-gaza-aid-boat-madleen-carrying-greta-thunberg-taken-to-israel
1248731380,20250610,202506,2025,SWEGOV,SWEDEN,SWE,ISR,ISRAELI,ISR,046,7.0,6,6,-3.77881684079957,62,15,62,15,62,15,SW,Sweden,https://www.aljazeera.com/news/2025/6/9/seized-gaza-aid-boat-madleen-carrying-greta-thunberg-taken-to-israel
1248731382,20250610,202506,2025,SWEGOV,SWEDEN,SWE,ISRGOV,ISRAEL,ISR,046,7.0,36,36,-1.94384122256134,62,15,31.4167,34.3333,31.4167,34.3333,IS,"Gaza, Israel (general), Israel",https://www.gdnonline.com:443/Details/1355311
1248731952,20250610,202506,2025,USA,UNITED STATES,USA,MIL,MARINES,,013,0.4,2,2,-4.32291666666666,60,100,60,100,60,100,RS,Russia,https://freerepublic.com/tag/*/index?more=4322005
1248732100,20250610,202506,2025,USA,CALIFORNIA,USA,USAPTY,UNITED STATES,USA,160,-4.0,1,1,-6.7853170189099,60,100,60,100,60,100,RS,Russia,https://www.worldtribune.com/trump-slams-paid-insurrectionists-dhs-californias-governor-siding-with-foreign-criminals/
1248732218,20250610,202506,2025,USAGOVMIL,UNITED STATES,USA,MIL,MARINES,,013,0.4,2,2,-4.32291666666666,60,100,60,100,60,100,RS,Russia,https://freerepublic.com/tag/*/index?more=4322005
