year,mean,minimum,maximum
1978,12.66,11.65,13.67
1979,12.35,7.05,16.34
1980,12.35,7.67,16.04
1981,12.15,7.14,15.63
1982,12.47,7.3,16.04
1983,12.35,7.39,16.09
1984,11.92,6.81,15.58
1985,12.02,6.7,15.89
1986,12.22,7.41,15.91
1987,-822.1,-9999.0,16.05
1988,-822.31,-9999.0,15.96
1989,11.99,7.01,15.5
1990,11.72,6.14,15.87
1991,11.77,6.47,15.42
1992,12.12,7.47,15.48
1993,11.95,6.4,15.81
1994,12.03,7.14,15.56
1995,11.44,6.08,15.26
1996,11.85,7.58,15.15
1997,11.69,6.69,15.47
1998,11.78,6.54,15.75
1999,11.71,6.12,15.4
2000,11.52,6.25,15.22
2001,11.62,6.73,15.52
2002,11.38,5.83,15.35
2003,11.42,6.12,15.48
2004,11.25,5.98,14.99
2005,10.93,5.5,14.69
2006,10.79,5.86,14.42
2007,10.5,4.27,14.54
2008,10.99,4.69,15.18
2009,10.96,5.26,14.98
2010,10.73,4.87,15.14
2011,10.51,4.56,14.55
2012,10.42,3.57,15.2
2013,10.92,5.21,15.03
2014,10.81,5.22,14.76
2015,10.59,4.62,14.4
2016,10.18,4.53,14.4
2017,10.41,4.82,14.29
2018,10.38,4.79,14.3
2019,10.23,4.36,14.57
2020,10.16,4.0,14.73
2021,10.58,4.95,14.66
2022,10.69,4.9,14.61
2023,10.49,4.38,14.43
2024,10.41,4.35,14.87
2025,10.15,4.75,14.12
2026,13.41,12.14,14.13
